hidden_layers,learning_rate,activation,dropout,val_accuracy,train_accuracy,test_accuracy,val_f1,val_precision,val_recall,test_f1,test_precision,test_recall,l2_penalty
"[256, 64]",0.0005,relu,0,0.6720647773279352,0.9655172413793104,0.6376518218623481,0.30897040786333224,0.35782692307692304,0.29715353264320726,0.28344282471758536,0.3243715791734084,0.2726612870933897,0.01
"[128, 32, 128]",0.01,relu,0.1,0.6174089068825911,0.9499661933739013,0.5870445344129555,0.24730857886119215,0.3404417873249466,0.23153259014491806,0.22859596631205675,0.31050942690137395,0.21475618158972348,0.001
"[16, 32, 256, 8]",0.0005,relu,0,0.645748987854251,0.9952670723461798,0.6356275303643725,0.2757363894149097,0.34737941027814917,0.2601235629239384,0.2804880729924841,0.3382074420677362,0.26523132734021343,0.0
"[512, 32, 64]",0.0005,relu,0.5,0.6821862348178138,0.966869506423259,0.6356275303643725,0.33746118949679593,0.3660674837176553,0.3239370927887824,0.3086654949258614,0.32026453365899205,0.30698879314336136,0.01
[64],0.0005,relu,0.25,0.6659919028340081,0.9283299526707235,0.6356275303643725,0.32029680114199965,0.35220984787133647,0.3137820283079983,0.29597341928421045,0.30836261405146853,0.2963155914892461,0.0
"[64, 512]",0.001,relu,0.5,0.6821862348178138,0.9641649763353617,0.6295546558704453,0.33184196377043573,0.36334324168231463,0.31941893421086165,0.29797594954227324,0.3198981087812636,0.29266003761466836,0.1
[512],0.01,relu,0.25,0.6659919028340081,0.9986477349560514,0.6295546558704453,0.28774895751928364,0.36367348754210377,0.27060812695199427,0.2708468608188764,0.3203547539417104,0.2560819739715234,0.0
"[32, 256, 8]",0.001,relu,0,0.6417004048582996,0.9526707234617985,0.6072874493927125,0.302294871063848,0.33715218301180444,0.2885124892321388,0.2755787520470343,0.297588141025641,0.26660372886123823,0.01
[16],0.01,relu,0.5,0.6862348178137652,0.9776876267748479,0.6194331983805668,0.3264297425238096,0.3779473891299171,0.3108764727194014,0.2757618364047828,0.3038674997185636,0.2656457353735201,0.01
"[32, 8]",0.0005,relu,0.25,0.2550607287449393,0.35496957403651114,0.23684210526315788,0.13661846310939238,0.31094405961377,0.240061824260823,0.13182211502285512,0.3063371550265476,0.22662885287259504,0.1
"[32, 256, 512, 16]",0.01,relu,0,0.5850202429149798,0.6842461122379987,0.5506072874493927,0.25563655236843535,0.25916653483696933,0.26888750590252464,0.21087052892706293,0.2727839851694102,0.2312541208739582,0.0
"[128, 64, 16]",0.01,relu,0.5,0.5748987854251012,0.7998647734956051,0.5870445344129555,0.26910342065751747,0.28538053766336363,0.2966496503534989,0.29095891013064906,0.30187650195708515,0.31019452344937326,0.0
"[256, 8]",0.001,relu,0,0.6740890688259109,0.9580797836375929,0.631578947368421,0.3059003939772195,0.34205410936968317,0.2973133158912258,0.2770727474948943,0.299731191268006,0.2718614802860735,0.01
"[512, 8]",0.001,relu,0.1,0.6781376518218624,0.9743069641649763,0.6376518218623481,0.3165487340689108,0.3616486249708601,0.30582637575753974,0.2926949258315662,0.3188619303809016,0.28464139098525837,0.01
"[128, 128]",0.01,relu,0.5,0.6497975708502024,0.9188640973630832,0.6133603238866396,0.33209274030193686,0.40702199542660067,0.3071486280184653,0.29357292160381065,0.365355002787068,0.27093171519798553,0.001
"[8, 128, 32, 128]",0.001,relu,0,0.6558704453441295,1.0,0.6356275303643725,0.23038954476884835,0.3725619489206446,0.23838797657633704,0.229653017321316,0.31274221412896297,0.2301405625873711,0.0
"[8, 8]",0.01,relu,0.1,0.680161943319838,0.991210277214334,0.6255060728744939,0.3109064525540206,0.369470275696388,0.29144840025628516,0.269614438237728,0.32513389433985884,0.25176574441280325,0.1
"[32, 128, 128]",0.005,relu,0.5,0.6639676113360324,0.9621365787694388,0.6356275303643725,0.31897147707591494,0.3521076998050683,0.31376934417844926,0.3256047173265135,0.34116635597555084,0.3231140210098283,0.0
"[8, 64]",0.005,relu,0.5,0.6659919028340081,0.9688979039891819,0.6356275303643725,0.34994592332275715,0.47499109570713643,0.32394942908084334,0.29917772461229775,0.3358000747273925,0.28577128588862005,0.0
"[512, 32]",0.0005,relu,0.1,0.6740890688259109,0.9898580121703854,0.6356275303643725,0.3033839765745008,0.3607464703626962,0.286263204246621,0.2813365749857673,0.34974753571357675,0.2608618831631973,0.001
"[16, 256]",0.0005,relu,0.25,0.680161943319838,0.9688979039891819,0.6477732793522267,0.3302445003101204,0.3706753264612176,0.3128510009376718,0.29281793905842124,0.3321235388543081,0.27923553435912635,0.001
"[256, 8, 64, 64]",0.005,relu,0.5,0.5789473684210527,0.7924273157538878,0.5890688259109311,0.23340618738420418,0.25769936135660976,0.2335029959404177,0.23636532634032634,0.25650456987801706,0.2363537132388822,0.01
"[256, 64]",0.0005,relu,0.1,0.680161943319838,0.9925625422582827,0.6518218623481782,0.30973586137263975,0.37141509341488754,0.2918054918993592,0.2972589896560741,0.3707289803220035,0.2733802394315536,0.001
[16],0.01,relu,0.25,0.6862348178137652,0.966869506423259,0.6336032388663968,0.31844600427059194,0.3584164046413267,0.3123870076701742,0.29623531737665537,0.31185964372560393,0.29255775661438993,0.0
"[32, 256, 16, 16]",0.0005,relu,0.5,0.6437246963562753,0.9263015551048005,0.597165991902834,0.3247086247086247,0.4466456675508399,0.3016804013557768,0.2593769205946887,0.25989426659054815,0.2611994855815256,0.001
"[512, 128, 32, 64]",0.001,relu,0.1,0.6680161943319838,0.9756592292089249,0.631578947368421,0.3045054917373104,0.3869927274188364,0.2921539502030741,0.27320450452409073,0.29922307364836104,0.26885380890387145,0.1
[64],0.0005,relu,0.5,0.5121457489878543,0.7478025693035835,0.5384615384615384,0.28227009057545704,0.29024769628509206,0.3612809850020426,0.28395691918749016,0.3282704400934399,0.32434796049470643,0.1
"[8, 8]",0.01,relu,0.1,0.6720647773279352,0.9296822177146721,0.6194331983805668,0.3532985056072885,0.39935641490363405,0.3451694467026131,0.293919878430748,0.2958644843234034,0.3066589180090431,0.0
[512],0.001,relu,0,0.680161943319838,0.9891818796484111,0.6376518218623481,0.29726959736023384,0.3675627923644564,0.2858349265968165,0.26724236943968527,0.34131430164038856,0.25368673405281666,0.0
[256],0.01,relu,0.5,0.6740890688259109,0.9770114942528736,0.6336032388663968,0.31613860809172856,0.3626377991584115,0.30306628206346603,0.2949320923461073,0.31468369179789724,0.28829204157739824,0.01
